id,famille,type,nom_indicateur,description,unite,objectif,source,contraintes,modalites,support_spatial,Ponderation,spatialisation_H3,type_source,frequence,normalisation_methode,sens_indicateur,definition_criticite,Quantitatif/qualitatif,Discrète / continue,Relatif / absolu,Discrétisation,Représentation,Seuil vigilance,Historisation,Disponibilité donnée,Synthèse échanges Stéphane du 24 avril 2026
12,Pression Env,Pression,Surface érosion,Surface des zones où le sol est abîmé ou fragile.,ha,Comparer les bassins versants selon leur sensibilité à l’érosion afin d’identifier les ressources exposées à des dégradations du milieu.,OEIL (données érosion provinciales) + MOS (Géorep)  https://georep.nc (Occupation des sols 2014),"Données non homogènes spatialement, limitant la comparabilité à l’échelle du territoire.",Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.,maille,Oui,Oui,Vecteur,Annuelle,Classes 3 niveaux,Négatif (plus = critique),Plus de sol nu = plus d’érosion → criticité élevée,Quantitatif,Continue,Absolu,,Carte,,10 ans,Partielle,Donnée non homogène territoire si utilisation de la donnée « formes érosives » de l’OEIL. Préférence donnée homogène → MOS. Indicateur secondaire.
13,Pression Env,Pression,Terrain nu,Surface de terrain sans végétation.,ha,Comparer les bassins versants selon l’étendue des surfaces dégradées afin d’identifier les zones les plus sensibles aux transferts de polluants.,Géorep – MOS 2014  https://georep.nc (Imagerie et occupation des sols → MOS 2014),"Dépendance à une source unique (MOS), nécessitant une validation de la qualité et de la mise à jour.",Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.,maille,Oui,Oui,Raster,Annuelle,,,,Quantitatif,Continue,Absolu,,Carte,,10 ans,Oui,Indicateur MOS privilégié. Homogène et robuste. Calcul surfacique sur BV.
14,Pression Env,Pression,Glissement terrain,Zones exposées aux glissements de terrain.,ha,Comparer les bassins versants selon leur instabilité afin d’identifier les zones à risque pour la ressource.,Géorep – DIMENC (BDMVT)  https://dimenc.gouv.nc/geologie/evaluer-les-risques-naturels/les-versants-instables-et-mouvements-de-terrain,"Donnée modélisée et interprétée, non directement observée.",Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.,maille,Oui,Oui,Raster,,,,,Quantitatif,Continue,Absolu,,Carte,,10 ans,Oui,Carte issue analyse multicritère DIMENC. Déplacé en vulnérabilité ?
15,Pression Env,Pression,Incendies cumulés,Surface totale touchée par les incendies.,ha,Comparer les bassins versants selon leur historique d’incendies afin d’identifier les milieux les perturbés.,OEIL (VIIRS / Sentinel – hors Géorep),"Résolution des données variable selon les capteurs, pouvant affecter la précision.",Cumul des surfaces brûlées sur une période donnée et agrégation par bassin versant.,maille,Oui,Oui,Raster,Annuelle,Classes 3 niveaux,Négatif,Forte surface brûlée = forte pression → criticité élevée,Quantitatif,Continue,Absolu,,Carte,>50%,10 ans,Oui,"cumul surfacique VIIRS, simplement iintégrable en pression environnementale."
16,Pression Env,Pression,Occupation sol,"Type d’occupation des sols (forêt, urbain, etc.).",% ,"Comparer les bassins versants selon leur structure (forêt, urbain, agricole) afin d’identifier les menaces dominantes.",Géorep – MOS 2014  https://georep.nc (Imagerie et occupation des sols),Nécessité de simplifier les classes pour assurer la lisibilité et la comparabilité.,Regroupement des classes du MOS en catégories simplifiées puis calcul de proportions.,maille,Oui,Oui,Raster,Annuelle,Classes simplifiées,Négatif,Moins de forêt / plus de sol dégradé = criticité élevée,Quantitatif,Continue,Relatif,,Carte,,10 ans,Oui,Basé MOS (référence). Nécessité simplification (4-5 classes). Indicateur structurant pour pondération.
17,Pression Env,Pression,EEE,Présence d’espèces envahissantes.,?,Comparer les bassins versants selon la présence d’espèces envahissantes afin d’identifier des pressions écologiques potentielles.,Provinces (à identifier – inventaires locaux non centralisés),Absence de base de données consolidée et incertitude sur la disponibilité.,"Intégration conditionnée à la disponibilité des données, sans méthode définie à ce stade.",BV,Non,Non,,,À définir,Négatif,Présence forte = pression écologique élevée,,Qualitatif,Discrète,Absolu,,, ,Faible,Donnée incertaine. Source non identifiée. Indicateur non prioritaire.
18,Pression Anthro,Pression,Activité minière,Surface occupée par les activités minières.,ha,Comparer les bassins versants selon l’emprise minière afin d’identifier les pressions fortes sur la ressource.,Géorep – DIMENC (carrières autorisées)  https://georep.nc (données → carrières autorisées),Accès aux données limité (données sensibles ou non publiques).,Calcul des surfaces d’emprise puis agrégation par bassin versant.,maille,Oui,Oui,Vecteur,Annuelle,Classes 3 niveaux,Négatif,Surface minière élevée = pression forte → criticité élevée,Quantitatif,Continue,Absolu,,Carte,,10 ans,Partielle,Donnée DIMENC non publique. Alternative via MOS (redondance sol nu). Accès incertain.
19,Pression Anthro,Pression,ICPE,Nombre de sites industriels à risque.,Nombre,Comparer les bassins versants selon la densité d’activités à risque afin d’identifier les sources potentielles de pollution.,DIMENC + Provinces (pas de base consolidée – hors Géorep),"Données dispersées entre plusieurs acteurs, absence de base consolidée et typologie homogène.",Comptage des installations par unité spatiale avec possibilité de typologie.,maille,Oui,Oui,Ponctuel,Semestrielle,Classes 3 niveaux,Négatif,Plus d’ICPE = risque pollution → criticité élevée,Quantitatif,Discrète,Absolu,,Carte,,5 ans,Faible,Données dispersées (provinces). Besoin typologie ICPE. Difficulté accès + structuration.
20,Pression Anthro,Pression,Pollution accidentelle,Nombre d’événements de pollution connus.,Nombre,Comparer les bassins versants selon la fréquence d’événements polluants afin d’identifier les zones à risque ponctuel.,DAVAR / DIMENC / Provinces (pas de base identifiée),Absence de base de données structurée et historisée.,"Comptage des événements sur une période donnée, si données disponibles.",BV,Non,Non,,,Classes 3 niveaux,Négatif,Fréquence élevée = criticité forte,,Quantitatif,Discrète,Absolu,,, ,Faible,Pas de base existante. Possibilité future via saisie utilisateur (outil collaboratif).
21,Pression Anthro,Pression,Urbanisation,Nombre de bâtiments présents.,Nombre,Comparer les bassins versants selon leur niveau d’artificialisation afin d’identifier les pressions liées aux activités humaines.,Géorep – BD TOPO  https://georep.nc (BDTOPO-NC),Dépendance à la qualité et à l’actualisation de la BD TOPO.,Comptage des bâtiments par unité spatiale puis agrégation.,maille,Oui,Oui,Vecteur,Annuelle,Classes 3 niveaux,Négatif,Plus de bâti = pression → criticité élevée,Quantitatif,Discrète,Absolu,,Carte,,10 ans,Oui,Donnée BD TOPO. Indicateur pression anthropique. Possibilité typologie bâtis.
22,Pression Anthro,Pression,Habitations,Nombre de logements.,Nombre,Comparer les bassins versants selon la densité d’habitat afin d’affiner l’analyse des pressions humaines.,ISEE + croisement BD TOPO (hors Géorep direct),"Croisement de sources nécessaire, avec incertitudes sur la précision spatiale.",Comptage ou estimation des logements par unité spatiale.,maille,Oui,Oui,Vecteur,4 ans,Classes 3 niveaux,Négatif,Densité humaine = pression accrue,Quantitatif,Discrète,Absolu,,Carte,,10 ans,Oui,Donnée ISEE. Complément du bâti. Peut rester séparé ou fusionné selon usage.
23,Vulnérabilité,Vulnérabilité,IDPR,Niveau de sensibilité naturelle du terrain à laisser passer l’eau.,Indice (0 à 4),Comparer les bassins versants selon leur vulnérabilité intrinsèque afin d’identifier les zones les plus sensibles aux transferts.,Géorep – DIMENC (atlas hydrogéologique LISA)  https://georep.nc (Explo’ LISA),"Donnée robuste mais reposant sur un modèle, nécessitant une bonne compréhension.",Utilisation directe de l’indice existant avec agrégation spatiale.,maille,Oui,Oui,Raster,Fixe,Déjà normalisé (0-4),Négatif,Indice élevé = forte vulnérabilité,Quantitatif,Continue,Absolu,,Carte,,Fixe,Oui,Indicateur déjà normalisé (0-4). Clé pour vulnérabilité intrinsèque. Directement exploitable.
24,Vulnérabilité,Vulnérabilité,Géologie,Type de sol et de roche. Propriété des sols correspondant (infiltrant / intermédiaire / ruisselant),% ,Comparer les bassins versants selon les propriétés des sols afin de qualifier leur comportement hydrologique.,Géorep – DIMENC  https://georep.nc (explorateur géosciences),Risque de redondance avec d’autres indicateurs et nécessité de simplification.,Regroupement des classes géologiques en catégories simplifiées.,maille,Oui,Oui,Vecteur,Fixe,Classes simplifiées,Négatif,"Sols infiltrants = moins critique, ruisselants = plus critique",Quantitatif,Continue,Relatif,,Carte,,Fixe,Oui,Indicateur simplifié (grandes classes). Risque redondance avec IDPR. À agréger.
25,Pression quanti,Pression,AODPE nombre,Nombre de prélèvements d’eau autorisés.,Nombre,Comparer les captages selon le nombre de prélèvements afin d’évaluer la pression d’usage.,DAVAR (base prélèvements),Nécessité de suivi régulier pour intégrer les évolutions des autorisations.,Comptage des prélèvements associés à chaque captage.,Captage,Oui,Non,Table,Semestrielle,Classes 3 niveaux,Négatif,Plus de prélèvements = pression ressource,Quantitatif,Discrète,Absolu,, , ,5 ans,Oui,Indicateur pression captage. Donnée dynamique DAVAR. Intégrable en analyse.
26,Pression quanti,Pression,AODPE volume,Volume total d’eau prélevé.,m3,Comparer les captages selon les volumes prélevés afin d’évaluer l’intensité de la pression quantitative.,DAVAR (base prélèvements),Dépendance à la qualité des déclarations et à leur mise à jour.,Somme des volumes autorisés associés à chaque captage.,Captage,Oui,Non,Table,Semestrielle,Classes 3 niveaux,Négatif,Volume élevé = pression forte,Quantitatif,Continue,Absolu,, , ,5 ans,Oui,Complément du nombre. Permet comparaison avec ressource disponible.
27,Pression quanti,Pression,BBR,"Bilan Besoin Ressource, Écart entre l’eau disponible et les besoins.",Classe (non impacté / impacté / très impacté / déficitaire / très déficitaire),Comparer les bassins versants selon l’équilibre ressource/besoins afin d’identifier les situations de tension ou de déficit.,DAVAR (diffusion prévue via Géorep / GeoREP à venir),Donnée issue d’un modèle nécessitant validation et mise à jour régulière.,Utilisation directe de la classe issue du modèle avec agrégation au bassin versant.,BV,Oui,Non,Table,Mensuelle,Déjà normalisé (5 classes),Négatif,Déficit ressource = criticité maximale,Qualitatif,Discrète,Relatif,,Carte,Déficit,10 ans,Oui,Indicateur clé (5 classes). Carte BV (vert à rouge). Base analyse multicritère stratégique.
28,Pression quanti,Pression,Pluviométrie,Quantité de pluie reçue.,mm,Comparer les bassins versants selon les apports en eau afin de contextualiser la disponibilité de la ressource.,Géorep – Portail Météorologie et Climat  https://georep.nc (Environnement → climat),Redondance avec d’autres indicateurs de disponibilité de la ressource.,Calcul de la moyenne spatiale par bassin versant.,maille,Oui,Oui,Raster,Annuelle,Classes 3 niveaux,Positif (plus = mieux),Faible pluie = forte criticité,Quantitatif,Continue,Absolu,,Carte,,20 ans,Oui,Donnée régionalisée. Redondance avec capacité production. À discuter.
29,Pression quali,Pression,Qualité eau,Qualité de l’eau (bonne à mauvaise).,Classe (A1 / A2 / A3),Comparer les captages selon leur qualité afin d’identifier ceux nécessitant des actions de gestion ou de protection.,DASS (ATYA – base sanitaire),Disponibilité limitée et complexité d’interprétation des données sanitaires.,Attribution d’une classe par captage selon les données disponibles.,Captage,Oui,Non,Table,Mensuelle,Catégoriel mappé,Négatif,Classe dégradée = criticité élevée,Qualitatif,Discrète,Absolu,,Couleur,Non conforme,5 ans,Faible,Donnée complexe et peu disponible. Difficilement intégrable dans modèle actuel.
